22861;2;Водитель Кожуховская;Москва;"Добрый день, [имя-кандидата]. Компания Grandee ищет кандидата на вакансию ""Водитель"". Присоединяйтесь к команде профессионалов в одной из ведущих компаний на рынке транспортных услуг! Мы предлагаем высокий доход, новые комфортабельные автомобили, профессиональный рост!<br /><br />Такси Grandee – новый уровень комфорта! Удобно! Надежно! Быстро! Функционально!<br /><br />Ваше резюме показалось нам очень интересным. Высылаем Вам информацию по вакансии, просим Вас ознакомится. Если наше предложение Вам интересно, перезвоните, пожалуйста, в рабочее время.<br /><br />В нашем автопарке автомобили:<br /><br />Ford Focus<br /><br />Ford Galaxy<br /><br />Hyundai Solaris<br /><br />Shkoda Rapid<br /><br />Все автомобили новые 2015-2016 года выпуска, желтые с желтыми номерами, застрахованы по КАСКО и ОСАГО.<br /><br />НАШИ АВТОПАРКИ:<br /><br />М.Кожуховская<br /><br />Варианты работы!<br />Работа по договору с ежедневными выплатами(БЕЗ АРЕНДЫ):<br />ЗП от 60000 рублей и более, выплаты ежедневные.<br />Большое количество заказов<br />Удобный график: Суточные<br />планшет, ТО, ТР, комплект летней-зимней резины, бустер, детское кресло, зарядные устройства за счет компании.<br /><br />ДОЛЖНОСТНЫЕ ОБЯЗАННОСТИ:<br />Выполнение заказов от диспетчерской, обслуживание корпоративных и частных клиентов;<br />Соблюдение корпоративных стандартов обслуживания пассажиров;<br />Контроль за техническим состоянием автомобиля, чистотой и порядком в салоне.<br /><br />ТРЕБОВАНИЯ:<br />Безаварийный стаж вождения от 3 лет;<br />Ответственность, умение и желание работать с людьми;<br />Гражданство РФ;<br />Стаж работы водителем не обязателен – проводится обучение (планшет и др.)"
204684;2;Водитель на авто компании;Москва;NULL
205119;2;"Водитель доставки ";Москва;NULL
67954;2;Водитель на личном авто (м. Владыкино);Москва;В ночные смены с 20/8, 19/7, 18/6, 21/9, 22/10 - 5/2, 3/2, 3/1, 4/2.<br />ЗП от 50 тыс, бесплатная униформа, бесплатное питание, оплачиваемое обучение.
137922;2;Водитель курьер на личном автомобиле;Санкт-Петербург;"<p><span>Приглашаем в нашу команду&nbsp;</span><strong><span></span></strong><strong><span>&nbsp;</span></strong><strong><span></span></strong><span>&nbsp;энергичных, позитивных и целеустремленных!</span></p> <p><span>Мы вместе учимся и становимся мастерами своего дела.</span></p> <p><strong><em><span>Будем признательны если в сопроводительном письме вы укажите станцию метро, к которой вы ближе всего проживаете</span></em></strong><em><span>.</span></em></p> <p><strong><span>Что мы предлагаем:</span></strong></p> <ul> <li><span>РАЗНЫЕ РАЙОНЫ ГОРОДА</span></li> <li><span>График работы: сменный 2/2, 3/3 и тд.,</span></li> <li><span>Заработная плата: часовая оплата, + за дальность заказа,</span></li> <li><span>Выездные медосмотры,</span></li> <li><span>Обучение внутри компании,</span></li> <li><span>Карьерный рост внутри компании,</span></li> <li><span>Скидки на продукцию компании (от 2-х месяцев работы),</span></li> <li><span>Корпоративное питание,</span></li> <li><span>Официальное трудоустройство,</span></li> <li><span>Стабильная выплата з/платы (</span><em><span>2 раза в месяц</span></em><span>).</span></li> </ul> <p></p> <p><strong><span>Наш сотрудник обладает:</span></strong></p> <ul> <li><span>Водительскими правами категории В,</span></li> <li><span>Грамотной устной речью,</span></li> <li><span>Личной мед. книжкой,</span></li> <li><span>Знанием маршрутов города,</span></li> <li><span>Коммуникабельностью, ответственностью.</span></li> </ul> <p></p> <p><strong><span>Вам предстоит:</span></strong></p> <ul> <li><span>доставка продукции компании клиентам на личном автомобиле (</span><em><span>по стандартам компании</span></em><span>)</span></li> </ul> <p><span>Тебе точно подойдет наша вакансия, если тебя интересует : работа, подработка, работа рядом с домом, водитель курьер, доставка, доставщик, официальная зарплата, доставка еды, высокая оплата труда, работа без опыта, работа в утреннее/дневное/вечернее время, работа выходного дня, работа в своём районе, водитель категории В, стабильность, дружный коллектив и надежность.</span></p>"
92844;2;Водитель доставки на своем автомобиле (м. Жулебино);Москва;"Качественная доставка японской кухни на СВОЕМ автомобиле по району, прилегающему к ресторану;<br /><br />Прием оплаты заказа или расчет по терминалу на месте.<br /><br />Требования:<br /><br />Знание дорог г. Москвы;<br /><br />Внимательность, вежливость, аккуратность, эмоциональная устойчивость.<br /><br />Водительские права категории B<br /><br />Условия:<br /><br />Гарантируем стабильность;<br /><br />Подберем удобный график работы (дневные, ночные, вечерние смены);<br /><br />Предложим заработную плату: % от заказа + чаевые;<br /><br />Обеспечим бесплатными вкусными обедами и красивой униформой."
93351;2;Водитель на своем авто;Москва;"В связи с тем ,что один водитель уволился Боолотбек уулу Акылбек и второй водитель замена другому "
206898;2;Водитель курьер на своем авто (Кузьминки);Москва;<p>График 5/2, 6/1 с 8 до 20</p> <p>ЗП от 50 до 70, возмещение ГСМ 300р смена</p>
144318;2;Водитель-экспедитор;Санкт-Петербург;NULL
144418;2;Водитель;Санкт-Петербург;NULL
