2449137;Пу 4;NULL;2001
2435380;Школа№2 г.Озёры;NULL;2011
2454129;Академический Международный Институт;Государственное муниципальное управление, ГМУ;2020
2454129;Коломенский политехнический колледж;Программист-техник;2015
2454315;Воронежский государственный аграрный университет им. Императора Петра I, Воронеж;Экономический, Производственный Менеджмент;2018
2454335;Воронежский государственный аграрный университет им. Императора Петра I, Воронеж;Гражданско правовой факультете, Юриспруденция;2015
2454627;ГПТУ-63;NULL;2001
2454833;Курский государственный технический университет селького хозяйства;механизация с/х, инженер-механик;1994
2454859;Воронежский государственный архитектурно-строительный университет, Воронеж;Строительный факультет, Экспертиза и управление недвижимостью;2021
2454859;воронежский техникум строительных технологий;строительный, строительство и эксплуатация зданий и сооружений;2015
2455111;Кхмк;Бухгалтер;2011
2455480;СГПТУ-78;NULL;1988
2460355;"Учебный Центр ""Логос""";Промышленный Альпинизм, Промышленный Альпинист;2013
2460355;ТУ №1;Автомеханика;2008
2459001;Железнодорожное училище;NULL;1993
2458746;спту                    , г. Москва.;Оптик;1985
2463409;Воронежский государственный промышленно-технологический колледж;технический, техническое обслуживание и ремонт автомобильного транспорта;2008
2463409;Воронежский государственный промышленно-технологический колледж;электрогазосварка, электрогазосварщик 4 разряда;2005
2464388;ГПТУ-12;NULL;1981
2464746;Школа 1;NULL;2003
2465118;КВАКУ;Командная, Инженер;1994
2465135;Московский государственный индустриальный университет;Экономика и управление на предприятии, Экономист, управленец;2011
2465158;Орловский государственный университет;Экономики и управления, Экономическая теория;2005
2466200;Национальный институт им. Екатерины Великой, Москва;Факультет экономики и менеджмента;2010
2467611;Российский новый университет;Педагогика и психология, Педагог психолог;2016
2467717;"Государственное образовательное бюджетное учреждение среднего профессионального образования Воронежской области"" Воронежский техникум строительных технологий"" г.Воронеж";Монтаж и эксплуатация промышленного оборудования(по отраслям), Техник-механик;2015
2474335;Красногорский колледж;NULL;2007
2475915;ИМиФ;Экономический, Экономика;2013
2475938;ВГТА ( Воронежская государственная технологическая академия);Технологический, Технология хлеба, кондитерских и макаронных изделий;2008
2474527;ПТУ 71;NULL;2009
2208147;ПТУ-133;автослесарь;1994
2478168;Ноу Колледж Мосэнерго;NULL;2010
2479496;Р.А. г. Гюмри университет  Прогрес;Юридически, Юриспендур;2015
2479496;Р.А. г. Ереван  ПТУ №1;Ремонтник раддиотелевизоров рразряд 4;2000
2457564;СПТУ№31;механизации, Электрик;1988
2457564;СПТУ№31;электрик-аккумуляторщик , механизации;1988
2482576;Высший банковский колледж;Специалист банковского дела;2011
2482599;СГАУ;Энергообеспечение, Инженер;2019
2482908;моиу;юриспруденция , права;2011
2484176;Филиал Российской таможенной академии им. В.Б. Бобкова, Санкт-Петербург;Таможенного дела, Таможенное дело (специалист таможенного дела);2014
2484179;Экономико-технологический колледж питания;NULL;2012
2484182;Волховский железнодорожный колледж;Движение поездов, Помощник машиниста тепловоза/электровоза.;2003
2484325;ВККПУСПО;пгс, мастер строительных работ;2011
2484345;Сибирская государственная автомобильно-дорожная академия, Омск;Факультет автомобильных дорог и мостов, АРХИТЕКТУРА И СТРОИТЕЛЬСТВО;2017
2484385;Санкт-Петербургский государственный технологический институт (технический университет), Санкт-Петербург;Логистики, Логистика;2015
2482556;Петербургский государственный университет путей сообщения;Электро-Технический, Инженер;2020
2482556;Петербургский государственный университет путей сообщения, Санкт-Петербург;Электротехнический факультет, Инженер;2018
2482556;Рубцовский Машиностроительный техникум;Автомобилестроение, Автослесарь;2014
2485490;СГТЭК;Электромонтер по ремонту и обслуживанию электрооборудования, Электромонтер по ремонту и обслуживанию электрооборудования;2015
2486970;Курганский Сельскохозяйственный колледж;ветеринария, ветеринарный фельдшер;2008
2487674;Пл 110;Автосервис, Автомеханник;2012
2489403;ПУ №12 г. Вязьма Смол. обл.;NULL;1996
2489489;Воронежский государственный университет, Воронеж;Юридический;2009
2489821;СПТУ;Электрогазосварщик, Электрогазосварщик;1993
2489841;ПТУ №14;Факультет автомобильного транспорта, Слесарь по ремонту автомобилей, Водитель автомобиля категорий «В»;2009
2489861;Автотранспортный и Электромеханический колледж;Экономика, Экономист-бухгалтер;2013
2489947;Агротехнологический техникум №42;Нет, Техник-механик;2014
